,ts_code,trade_date,open,high,low,close,pct_chg,vol,hlc3,t_chg,ema_lower,ema,ema_upper,bandwidth,bandwidth_chg,percent,macd,histogram,signal,avgwidthratio30,avgwidthratio20,avgwidthratio10,avgwidthratio5,rsi,cci,volratio5,volratio10,volratio3,pirceratio5,pirceratio10,priceratio3,forcasting1,forcasting5
180,600409.SH,20210903,15.2295,15.3839,14.0721,14.5254,-5.2238,1137177.31,14.66,-4.623,11.995,13.497,14.999,22.26,-1.735,0.887,0.638,0.096,0.543,0.76,0.935,0.88,0.859,65.057,101.65,0.939,1.095,0.914,1.034,1.083,1.022,2853.0,718.381
181,600409.SH,20210902,13.8985,15.461,13.5031,15.326,8.0955,1492293.84,14.763,10.271,11.77,13.374,14.979,23.995,-1.499,0.933,0.611,0.092,0.519,0.805,0.996,0.944,0.922,66.442,134.584,1.316,1.561,1.275,1.058,1.099,1.041,2827.92,-367.249
182,600409.SH,20210901,13.8503,14.5544,13.3391,14.1782,1.871,1266549.71,14.024,2.367,11.542,13.228,14.914,25.494,-1.297,0.736,0.556,0.061,0.496,0.843,1.045,1.007,0.987,60.924,64.09,1.202,1.412,1.123,1.022,1.048,0.996,2985.14,1279.151
183,600409.SH,20210831,14.3711,14.3711,13.6092,13.9178,-3.9284,903256.45,13.966,-3.154,11.384,13.144,14.905,26.791,-0.969,0.733,0.554,0.073,0.48,0.877,1.082,1.069,1.054,60.455,64.801,0.884,1.015,0.78,1.038,1.043,1.003,2950.42,1509.711
184,600409.SH,20210830,14.564,15.1234,14.3133,14.4869,0.1334,1315811.25,14.641,-0.529,11.246,13.058,14.87,27.76,1.571,0.937,0.548,0.086,0.462,0.903,1.097,1.135,1.115,69.444,163.291,1.395,1.587,1.283,1.119,1.101,1.09,2809.6,786.545
185,600409.SH,20210827,13.2716,14.6508,13.2234,14.4676,7.2962,1194857.8,14.114,9.012,11.203,12.891,14.579,26.189,0.958,0.862,0.465,0.024,0.44,0.851,1.003,1.098,1.061,65.776,121.478,1.366,1.473,1.319,1.094,1.068,1.086,2840.47,-47.534
186,600409.SH,20210826,13.4838,14.0143,13.2716,13.4838,-2.3741,1096689.08,13.59,0.0,11.153,12.763,14.373,25.232,0.572,0.757,0.405,-0.03,0.434,0.821,0.932,1.085,1.023,61.539,65.005,1.389,1.419,1.302,1.053,1.034,1.069,2895.45,1334.318
187,600409.SH,20210825,12.8761,13.9275,12.3264,13.8117,7.4264,1025264.61,13.355,7.266,11.113,12.676,14.238,24.66,0.329,0.717,0.376,-0.066,0.442,0.808,0.876,1.086,1.001,59.465,42.697,1.421,1.41,1.312,1.034,1.021,1.059,2795.14,1796.644
188,600409.SH,20210824,12.3071,12.8858,12.2299,12.8569,4.1407,784377.4,12.658,4.467,11.071,12.604,14.137,24.331,-0.074,0.517,0.357,-0.101,0.458,0.805,0.833,1.088,0.991,52.424,-32.409,1.076,1.083,1.072,0.962,0.969,0.985,2729.55,1496.172
189,600409.SH,20210823,12.5386,12.7315,12.0853,12.3457,-0.2335,716829.42,12.388,-1.538,11.061,12.598,14.136,24.405,-0.2,0.431,0.4,-0.084,0.484,0.818,0.807,1.098,1.016,49.276,-45.114,1.0,0.997,1.014,0.928,0.954,0.944,2666.86,1706.16
190,600409.SH,20210820,12.8858,12.9147,12.0177,12.3746,-4.1108,842947.04,12.436,-3.967,11.068,12.621,14.173,24.605,-0.236,0.44,0.475,-0.03,0.505,0.836,0.79,1.098,1.062,49.819,-31.059,1.134,1.21,1.198,0.921,0.965,0.919,2520.26,1867.74
191,600409.SH,20210819,13.4838,13.4838,12.4807,12.9051,-5.3746,781993.89,12.957,-4.292,11.07,12.64,14.21,24.841,-0.364,0.601,0.56,0.048,0.512,0.856,0.778,1.087,1.122,55.972,23.552,1.079,1.17,1.168,0.962,1.015,0.947,2472.03,1523.963
192,600409.SH,20210818,13.3198,14.0625,13.1269,13.6381,3.0613,585400.2,13.609,2.39,11.018,12.607,14.196,25.205,0.802,0.815,0.607,0.106,0.5,0.882,0.775,1.073,1.196,65.302,84.11,0.819,0.876,0.758,1.023,1.082,1.0,2527.97,193.609
193,600409.SH,20210817,13.7731,14.0818,13.1269,13.233,-4.1233,616166.98,13.481,-3.921,10.976,12.501,14.027,24.403,0.479,0.821,0.591,0.118,0.474,0.867,0.737,1.0,1.196,64.217,87.698,0.836,0.926,0.783,1.026,1.085,1.004,2654.32,432.577
194,600409.SH,20210816,13.9853,14.7473,13.7346,13.8021,1.4174,830888.38,14.095,-1.31,10.915,12.398,13.881,23.924,2.801,1.072,0.576,0.132,0.444,0.863,0.713,0.928,1.18,74.483,162.895,1.173,1.288,1.17,1.108,1.153,1.08,2687.11,-686.182
195,600409.SH,20210813,13.5417,13.7828,13.2716,13.6092,-0.6338,645602.75,13.555,0.498,10.929,12.22,13.51,21.123,1.57,1.017,0.486,0.075,0.411,0.772,0.623,0.76,0.997,70.677,159.989,0.921,1.014,0.877,1.098,1.12,1.06,2703.51,-1263.911
196,600409.SH,20210812,12.7508,13.8503,12.336,13.696,8.4797,998287.28,13.294,7.413,10.898,12.079,13.26,19.554,0.913,1.014,0.419,0.026,0.393,0.723,0.573,0.649,0.855,68.592,154.635,1.629,1.656,1.533,1.102,1.108,1.075,2741.13,-1060.22
