ts_code,trade_date,open,high,low,close,pct_chg,vol,cci,cci_sum,max_falling_rating,SLOP,ANGLE,stoch,ema,ema_upper,ema_lower,envelope,envelope_shift,quantityrelativeratio,cci_status,envelope_days
603816.SH,20220525,62.83,63.33,61.0,61.9,-1.4802,31654.06,-16.5,1021.5,0.2,0.0,2.3,0.7,61.7,67.9,55.6,0,0.0,1.0,wait,56
600745.SH,20220525,67.79,68.47,64.77,67.09,-0.4452,216853.53,-72.3,983.4,0.2,-0.2,-9.0,0.5,69.4,76.3,62.4,0,0.0,0.9,wait,11
600309.SH,20220525,83.05,83.18,81.58,82.31,0.3413,61039.37,18.1,902.4,0.1,0.1,3.7,0.8,81.4,89.5,73.3,0,0.0,0.6,wait,56
603799.SH,20220525,89.07,89.67,87.0,88.95,-0.1123,121686.1,10.7,1102.4,0.3,0.4,21.7,0.8,86.7,95.3,78.0,0,0.0,0.6,wait,17
603486.SH,20220525,99.0,100.39,96.21,97.01,-3.2802,23366.98,-37.5,216.4,0.2,-0.0,-0.5,0.3,100.5,110.5,90.4,0,0.0,0.8,wait,11
002460.SZ,20220525,119.43,121.18,116.68,118.99,-0.5931,202952.14,47.9,1215.5,0.3,1.7,58.9,0.8,114.7,126.1,103.2,0,0.0,0.5,wait,1
605123.SH,20220525,104.21,106.94,103.58,104.25,-0.4013,8186.06,-205.8,248.0,0.2,-0.6,-30.9,0.7,107.2,117.9,96.5,0,0.0,0.5,wait,17
605168.SH,20220525,119.0,120.9,116.57,120.22,1.1272,7874.24,-25.3,949.3,0.1,0.3,17.7,0.8,122.6,134.8,110.3,0,0.0,0.7,wait,12
600703.SH,20220525,19.71,20.32,19.61,19.95,1.2177,495898.15,-38.8,966.6,0.2,-0.0,-2.3,0.7,20.2,22.3,18.2,0,0.0,0.6,wait,12
600763.SH,20220525,123.09,126.1,123.09,125.19,0.5542,23547.35,-81.3,292.5,0.1,-0.5,-28.2,0.4,129.8,142.8,116.8,0,0.0,0.4,wait,15
600882.SH,20220525,32.8,33.47,32.7,33.03,0.0909,25240.87,-51.6,872.1,0.1,-0.0,-0.2,0.7,33.1,36.4,29.8,0,0.0,0.5,wait,18
002036.SZ,20220525,12.21,12.48,12.17,12.38,1.5587,204413.86,-20.5,1014.0,0.3,0.0,2.0,0.8,12.4,13.7,11.2,0,0.0,0.5,wait,15
