ts_code,name,market,publisher,category,base_date,base_point,list_date
n00012.SH,上证国债(利),SSE,上交所,债券指数,20121231,100.0,20180102
n00013.SH,上证企债(利),SSE,上交所,债券指数,20121231,100.0,20180102
n00016.SH,上证50净收益,SSE,中证公司,规模指数,20031231,1000.0,20130208
n00022.SH,上证公司债(利),SSE,上交所,债券指数,20121231,100.0,20180102
n00043.SH,上证超级大盘净收益,SSE,中证公司,规模指数,20031231,1000.0,20130208
n00044.SH,上证中盘净收益,SSE,中证公司,规模指数,20031231,1000.0,20130208
n00045.SH,上证小盘净收益,SSE,中证公司,规模指数,20031231,1000.0,20130208
n00046.SH,上证中小净收益,SSE,中证公司,规模指数,20031231,1000.0,20130208
n00047.SH,上证全指净收益,SSE,中证公司,规模指数,20031231,1000.0,20130208
n00061.SH,上证企债30(利),SSE,上交所,债券指数,20121231,100.0,20180102
n00101.SH,上证5年信用(利),SSE,上交所,债券指数,20121231,100.0,20180102
n00116.SH,上证信用100(利),SSE,上交所,债券指数,20121231,100.0,20180102
n00132.SH,上证100净收益,SSE,中证公司,规模指数,20031231,1000.0,20130208
n00133.SH,上证150净收益,SSE,中证公司,规模指数,20031231,1000.0,20130208
n00140.SH,上证5年国债(利息及再投资),SSE,上交所,债券指数,20071231,100.0,20120912
n00155.SH,市值百强净收益,SSE,中证公司,规模指数,20031231,1000.0,20120720
n11077.SH,上证10年国债(利息及再投资),SSE,上交所,债券指数,20081231,100.0,20130307
n11080.SH,HGSZ AAA(利),SSE,上交所,债券指数,20121231,100.0,20180102
n11081.SH,HGSZ AA+(利),SSE,上交所,债券指数,20121231,100.0,20180102
n11082.SH,HGSZ AA(利),SSE,上交所,债券指数,20121231,100.0,20180102
n11083.SH,HGSZ 1-3(利),SSE,上交所,债券指数,20121231,100.0,20180102
n11084.SH,HGSZ 3-5(利),SSE,上交所,债券指数,20121231,100.0,20180102
n11085.SH,HGSZ 5-7(利),SSE,上交所,债券指数,20121231,100.0,20180102
n11086.SH,HGSZ 7-10(利),SSE,上交所,债券指数,20121231,100.0,20180102
n11095.SH,沪跨市中期中高债(利),SSE,上交所,债券指数,20081231,100.0,20130801
n11098.SH,沪城投债(利),SSE,上交所,债券指数,20081231,100.0,20131115
n21459.SH,中证800(净)USD,SSE,中证公司,规模指数,20041231,1000.0,20070115
n21460.SH,中证1000(净)USD,SSE,中证公司,规模指数,20041231,1000.0,20141017
n50102.SH,上证周期债(利),SSE,上交所,债券指数,20071231,100.0,20160819
n50109.SH,上证10年地债(利),SSE,上交所,债券指数,20131231,100.0,20161114
n50110.SH,上证超长国债(利),SSE,上交所,债券指数,20081231,100.0,20161114
n50113.SH,沪质中高债3-5(利),SSE,上交所,债券指数,20081231,100.0,20170223
n50117.SH,上证绿色债(利),SSE,上交所,债券指数,20161230,100.0,20170619
n50118.SH,上证绿色公司债(利),SSE,上交所,债券指数,20161230,100.0,20170619
S812T.SH,S812T指数,SSE,中证公司,规模指数,20191231,1000.0,20200619
T00901.SH,小康指数(旧),SSE,中证公司,主题指数,20051230,1000.0,20060109
105653.MI,MSCI俄罗斯,MSCI,MSCI,规模指数,19941230,100.0,
105765.MI,MSCI摩洛哥,MSCI,MSCI,规模指数,19941230,100.0,
105766.MI,MSCI埃及,MSCI,MSCI,规模指数,19941230,100.0,
105767.MI,MSCI印度尼西亚,MSCI,MSCI,规模指数,19871231,100.0,
105768.MI,MSCI马来西亚,MSCI,MSCI,规模指数,19871231,100.0,
105769.MI,MSCI泰国,MSCI,MSCI,规模指数,19871231,100.0,
105771.MI,MSCI澳大利亚成长,MSCI,MSCI,成长指数,19741231,100.0,
105772.MI,MSCI澳大利亚价值,MSCI,MSCI,价值指数,19741231,100.0,
105773.MI,MSCI奥地利成长,MSCI,MSCI,成长指数,19741231,100.0,
105774.MI,MSCI奥地利价值,MSCI,MSCI,价值指数,19741231,100.0,
105775.MI,MSCI比利时成长,MSCI,MSCI,成长指数,19741231,100.0,
105776.MI,MSCI比利时价值,MSCI,MSCI,价值指数,19741231,100.0,
105777.MI,MSCI加拿大成长,MSCI,MSCI,成长指数,19741231,100.0,
105778.MI,MSCI加拿大价值,MSCI,MSCI,价值指数,19741231,100.0,
105779.MI,MSCI丹麦成长,MSCI,MSCI,成长指数,19741231,100.0,
105780.MI,MSCI丹麦价值,MSCI,MSCI,价值指数,19741231,100.0,
105783.MI,MSCI芬兰成长,MSCI,MSCI,成长指数,19871231,100.0,
105784.MI,MSCI芬兰价值,MSCI,MSCI,价值指数,19871231,100.0,
105785.MI,MSCI法国成长,MSCI,MSCI,成长指数,19741231,100.0,
105786.MI,MSCI法国价值,MSCI,MSCI,价值指数,19741231,100.0,
105787.MI,MSCI德国成长,MSCI,MSCI,成长指数,19741231,100.0,
105788.MI,MSCI德国价值,MSCI,MSCI,价值指数,19741231,100.0,
105789.MI,MSCI香港成长,MSCI,MSCI,成长指数,19741231,100.0,
105790.MI,MSCI香港价值,MSCI,MSCI,价值指数,19741231,100.0,
105791.MI,MSCI爱尔兰成长,MSCI,MSCI,成长指数,19901231,100.0,
105792.MI,MSCI爱尔兰价值,MSCI,MSCI,价值指数,19901231,100.0,
105793.MI,MSCI意大利成长,MSCI,MSCI,成长指数,19741231,100.0,
105794.MI,MSCI意大利价值,MSCI,MSCI,价值指数,19741231,100.0,
105795.MI,MSCI日本成长,MSCI,MSCI,成长指数,19741231,100.0,
105796.MI,MSCI日本价值,MSCI,MSCI,价值指数,19741231,100.0,
105801.MI,MSCI荷兰成长,MSCI,MSCI,成长指数,19741231,100.0,
105802.MI,MSCI荷兰价值,MSCI,MSCI,价值指数,19741231,100.0,
105803.MI,MSCI新西兰成长,MSCI,MSCI,成长指数,19871231,100.0,
105804.MI,MSCI新西兰价值,MSCI,MSCI,价值指数,19871231,100.0,
105807.MI,MSCI挪威成长,MSCI,MSCI,成长指数,19741231,100.0,
105808.MI,MSCI挪威价值,MSCI,MSCI,价值指数,19741231,100.0,
105809.MI,MSCI新加坡成长自由,MSCI,MSCI,规模指数,19871231,100.0,
105810.MI,MSCI新加坡价值自由,MSCI,MSCI,规模指数,19871231,100.0,
105811.MI,MSCI新加坡成长,MSCI,MSCI,成长指数,19741231,100.0,
105812.MI,MSCI新加坡价值,MSCI,MSCI,价值指数,19741231,100.0,
105813.MI,MSCI西班牙成长,MSCI,MSCI,成长指数,19741231,100.0,
105814.MI,MSCI西班牙价值,MSCI,MSCI,价值指数,19741231,100.0,
105817.MI,MSCI瑞典成长,MSCI,MSCI,成长指数,19741231,100.0,
105818.MI,MSCI瑞典价值,MSCI,MSCI,价值指数,19741231,100.0,
105821.MI,MSCI瑞士成长,MSCI,MSCI,成长指数,19741231,100.0,
105822.MI,MSCI瑞士价值,MSCI,MSCI,价值指数,19741231,100.0,
