3608,601908.SH,601908,京运通,北京,新型电力,20110908
3609,601916.SH,601916,浙商银行,浙江,银行,20191126
3610,601918.SH,601918,新集能源,安徽,煤炭开采,20071219
3611,601919.SH,601919,中远海控,天津,水运,20070626
3612,601921.SH,601921,浙版传媒,浙江,出版业,20210723
3613,601928.SH,601928,凤凰传媒,江苏,出版业,20111130
3614,601929.SH,601929,吉视传媒,吉林,影视音像,20120223
3615,601933.SH,601933,永辉超市,福建,超市连锁,20101215
3616,601939.SH,601939,建设银行,北京,银行,20070925
3617,601949.SH,601949,中国出版,北京,出版业,20170821
3618,601952.SH,601952,苏垦农发,江苏,种植业,20170515
3619,601956.SH,601956,东贝集团,湖北,家用电器,20201225
3620,601958.SH,601958,金钼股份,陕西,小金属,20080417
3621,601963.SH,601963,重庆银行,重庆,银行,20210205
3622,601965.SH,601965,中国汽研,重庆,汽车服务,20120611
3623,601966.SH,601966,玲珑轮胎,山东,汽车配件,20160706
3624,601968.SH,601968,宝钢包装,上海,广告包装,20150611
3625,601969.SH,601969,海南矿业,海南,普钢,20141209
3626,601975.SH,601975,招商南油,江苏,水运,20190108
3627,601985.SH,601985,中国核电,北京,新型电力,20150610
3628,601988.SH,601988,中国银行,北京,银行,20060705
3629,601989.SH,601989,中国重工,北京,船舶,20091216
3630,601990.SH,601990,南京证券,江苏,证券,20180613
3631,601991.SH,601991,大唐发电,北京,火力发电,20061220
3632,601992.SH,601992,金隅集团,北京,水泥,20110301
3633,601995.SH,601995,中金公司,北京,证券,20201102
3634,601996.SH,601996,丰林集团,广西,家居用品,20110929
3635,601997.SH,601997,贵阳银行,贵州,银行,20160816
3636,601998.SH,601998,中信银行,北京,银行,20070427
3637,601999.SH,601999,出版传媒,辽宁,出版业,20071221
3638,603000.SH,603000,人民网,北京,互联网,20120427
3639,603001.SH,603001,奥康国际,浙江,服饰,20120426
3640,603002.SH,603002,宏昌电子,广东,化工原料,20120518
3641,603003.SH,603003,龙宇燃油,上海,石油贸易,20120817
3642,603005.SH,603005,晶方科技,江苏,半导体,20140210
3643,603006.SH,603006,联明股份,上海,汽车配件,20140630
3645,603008.SH,603008,喜临门,浙江,家居用品,20120717
3646,603009.SH,603009,北特科技,上海,汽车配件,20140718
3647,603010.SH,603010,万盛股份,浙江,化工原料,20141010
3648,603011.SH,603011,合锻智能,安徽,机床制造,20141107
3649,603012.SH,603012,创力集团,上海,专用机械,20150320
3650,603013.SH,603013,亚普股份,江苏,汽车配件,20180509
3651,603015.SH,603015,弘讯科技,浙江,电气设备,20150303
3652,603016.SH,603016,新宏泰,江苏,电气设备,20160701
3653,603017.SH,603017,中衡设计,江苏,建筑工程,20141231
3654,603018.SH,603018,华设集团,江苏,建筑工程,20141013
3655,603019.SH,603019,中科曙光,天津,IT设备,20141106
3656,603020.SH,603020,爱普股份,上海,食品,20150325
3657,603021.SH,603021,山东华鹏,山东,玻璃,20150423
3658,603022.SH,603022,新通联,上海,广告包装,20150518
3659,603023.SH,603023,威帝股份,黑龙江,汽车配件,20150527
3660,603025.SH,603025,大豪科技,北京,纺织机械,20150422
3661,603026.SH,603026,石大胜华,山东,化工原料,20150529
3662,603027.SH,603027,千禾味业,四川,食品,20160307
3663,603028.SH,603028,赛福天,江苏,钢加工,20160331
3664,603029.SH,603029,天鹅股份,山东,农用机械,20160427
3665,603030.SH,603030,全筑股份,上海,装修装饰,20150320
3666,603031.SH,603031,安德利,安徽,百货,20160822
3668,603033.SH,603033,三维股份,浙江,橡胶,20161207
3669,603035.SH,603035,常熟汽饰,江苏,汽车配件,20170105
3670,603036.SH,603036,如通股份,江苏,专用机械,20161209
3671,603037.SH,603037,凯众股份,上海,汽车配件,20170120
3672,603038.SH,603038,华立股份,广东,装修装饰,20170116
3673,603039.SH,603039,泛微网络,上海,软件服务,20170113
3674,603040.SH,603040,新坐标,浙江,汽车配件,20170209
3675,603041.SH,603041,美思德,江苏,化工原料,20170330
3676,603042.SH,603042,华脉科技,江苏,通信设备,20170602
3677,603043.SH,603043,广州酒家,广东,食品,20170627
3678,603045.SH,603045,福达合金,浙江,电气设备,20180517
3679,603048.SH,603048,浙江黎明,浙江,汽车配件,20211116
3680,603050.SH,603050,科林电气,河北,电气设备,20170414
3681,603051.SH,603051,鹿山新材,广东,塑料,20220325
3682,603053.SH,603053,成都燃气,四川,供气供热,20191217
3683,603055.SH,603055,台华新材,浙江,纺织,20170921
3684,603056.SH,603056,德邦股份,上海,仓储物流,20180116
3685,603058.SH,603058,永吉股份,贵州,广告包装,20161223
3686,603059.SH,603059,倍加洁,江苏,日用化工,20180302
3687,603060.SH,603060,国检集团,北京,建筑工程,20161109
3688,603063.SH,603063,禾望电气,深圳,电气设备,20170728
3689,603066.SH,603066,音飞储存,江苏,仓储物流,20150611
3690,603067.SH,603067,振华股份,湖北,化工原料,20160913
3691,603068.SH,603068,博通集成,上海,半导体,20190415
3692,603069.SH,603069,海汽集团,海南,公路,20160712
3693,603070.SH,603070,万控智造,浙江,电气设备,20220310
3694,603071.SH,603071,物产环能,浙江,批发业,20211216
3695,603076.SH,603076,乐惠国际,浙江,专用机械,20171113
3696,603077.SH,603077,和邦生物,四川,化工原料,20120731
3697,603078.SH,603078,江化微,江苏,化工原料,20170410
3698,603079.SH,603079,圣达生物,浙江,食品,20170823
3699,603080.SH,603080,新疆火炬,新疆,供气供热,20180103
3700,603081.SH,603081,大丰实业,浙江,专用机械,20170420
3701,603083.SH,603083,剑桥科技,上海,通信设备,20171110
3702,603085.SH,603085,天成自控,浙江,汽车配件,20150630
3703,603086.SH,603086,先达股份,山东,农药化肥,20170511
3704,603087.SH,603087,甘李药业,北京,生物制药,20200629
3705,603088.SH,603088,宁波精达,浙江,专用机械,20141111
3706,603089.SH,603089,正裕工业,浙江,汽车配件,20170126
3707,603090.SH,603090,宏盛股份,江苏,专用机械,20160831
3708,603093.SH,603093,南华期货,浙江,多元金融,20190830
3709,603095.SH,603095,越剑智能,浙江,纺织机械,20200415
3710,603096.SH,603096,新经典,天津,出版业,20170425
3711,603098.SH,603098,森特股份,北京,装修装饰,20161216
3712,603099.SH,603099,长白山,吉林,旅游景点,20140822
3713,603100.SH,603100,川仪股份,重庆,电器仪表,20140805
3714,603101.SH,603101,汇嘉时代,新疆,百货,20160506
3715,603102.SH,603102,百合股份,山东,医疗保健,20220125
3716,603103.SH,603103,横店影视,浙江,影视音像,20171012
3717,603105.SH,603105,芯能科技,浙江,电气设备,20180709
3718,603106.SH,603106,恒银科技,天津,IT设备,20170920
3719,603108.SH,603108,润达医疗,上海,医药商业,20150527
3720,603109.SH,603109,神驰机电,重庆,电气设备,20191231
3721,603110.SH,603110,东方材料,安徽,染料涂料,20171013
3722,603111.SH,603111,康尼机电,江苏,运输设备,20140801
3723,603112.SH,603112,华翔股份,山西,机械基件,20200917
3724,603113.SH,603113,金能科技,山东,焦炭加工,20170511
3725,603115.SH,603115,海星股份,江苏,铝,20190809
