code,plate_name,plate_id
SH.BK0635,磷化工,BK0635
SH.BK0636,光刻机,BK0636
SH.BK0637,上证50,BK0637
SH.BK0639,深圳特区,BK0639
SH.BK0640,分拆上市预期,BK0640
SH.BK0641,数字货币,BK0641
SH.BK0642,VPN,BK0642
SH.BK0643,医疗美容,BK0643
SH.BK0644,农药兽药,BK0644
SH.BK0645,中药概念,BK0645
SH.BK0646,基建,BK0646
SH.BK0647,无线耳机,BK0647
SH.BK0648,含可转债,BK0648
SH.BK0649,眼科医疗,BK0649
SH.BK0650,广电系,BK0650
SH.BK0651,影视传媒,BK0651
SH.BK0652,食品饮料,BK0652
SH.BK0653,WIFI6,BK0653
SH.BK0654,创业板重组松绑,BK0654
SH.BK0655,农业种植,BK0655
SH.BK0656,数据中心,BK0656
SH.BK0657,被动元件,BK0657
SH.BK0659,氮化镓,BK0659
SH.BK0660,水产品,BK0660
SH.BK0661,远程办公,BK0661
SH.BK0662,传感器,BK0662
SH.BK0663,医疗信息化,BK0663
SH.BK0665,口罩,BK0665
SH.BK0666,呼吸机,BK0666
SH.BK0667,消毒液,BK0667
SH.BK0668,3D摄像头,BK0668
SH.BK0669,HIT电池,BK0669
SH.BK0670,体外诊断,BK0670
SH.BK0671,汽车零部件,BK0671
SH.BK0672,家居,BK0672
SH.BK0673,旅游,BK0673
SH.BK0674,MiniLED,BK0674
SH.BK0675,转基因,BK0675
SH.BK0676,胎压监测,BK0676
SH.BK0677,航运,BK0677
SH.BK0678,C2M概念,BK0678
SH.BK0679,RCS富媒体通信,BK0679
SH.BK0680,煤炭,BK0680
SH.BK0681,纺织服装,BK0681
SH.BK0682,创新药,BK0682
SH.BK0683,今日头条概念,BK0683
SH.BK0684,钢铁,BK0684
SH.BK0685,有色金属,BK0685
SH.BK0686,病毒检测,BK0686
SH.BK0687,病毒防治,BK0687
SH.BK0688,REITs,BK0688
SH.BK0689,化妆品,BK0689
SH.BK0690,港口,BK0690
SH.BK0691,造纸,BK0691
SH.BK0692,西部大开发,BK0692
SH.BK0693,血液制品,BK0693
SH.BK0694,电梯,BK0694
SH.BK0695,工程机械,BK0695
SH.BK0696,包装印刷,BK0696
SH.BK0697,轮胎,BK0697
SH.BK0698,机器视觉,BK0698
SH.BK0699,免税店概念,BK0699
SH.BK0700,精装修,BK0700
SH.BK0701,碳基半导体,BK0701
SH.BK0702,地摊经济,BK0702
SH.BK0703,盲盒,BK0703
SH.BK0704,汽车整车,BK0704
SH.BK0705,EDA设计软件,BK0705
SH.BK0706,爱奇艺概念,BK0706
SH.BK0707,保险,BK0707
SH.BK0708,银行,BK0708
SH.BK0709,中芯国际概念,BK0709
SH.BK0710,电子烟,BK0710
SH.BK0711,长寿药NMN,BK0711
SH.BK0712,国家大基金持股,BK0712
SH.BK0713,甜味剂,BK0713
SH.BK0714,可降解塑料,BK0714
SH.BK0715,脑科学,BK0715
SH.BK0716,碳化硅,BK0716
SH.BK0717,金刚石,BK0717
SH.BK0718,第三代半导体,BK0718
SH.BK0719,恒大汽车,BK0719
SH.BK0720,快充概念,BK0720
SH.BK0721,蔚来汽车概念,BK0721
SH.BK0722,昨日连板,BK0722
SH.BK0723,快手概念,BK0723
SH.BK0724,拼多多概念,BK0724
SH.BK0768,铜,BK0768
SH.BK0769,钛,BK0769
SH.BK0770,铝,BK0770
SH.BK0771,RCEP概念,BK0771
SH.BK0772,黄酒,BK0772
SH.BK0773,社区团购,BK0773
SH.BK0774,碳交易,BK0774
SH.BK0775,固态电池,BK0775
SH.BK0776,钨,BK0776
SH.BK0777,白银,BK0777
SH.BK0778,钼,BK0778
SH.BK0779,粘胶短纤,BK0779
SH.BK0780,PVC,BK0780
SH.BK0781,甲醇,BK0781
SH.BK0782,PTA,BK0782
SH.BK0783,碳中和,BK0783
SH.BK0784,BIPV概念(光伏建筑一体化),BK0784
SH.BK0785,NFT文交所,BK0785
SH.BK0786,激光雷达,BK0786
SH.BK0787,辅助生殖,BK0787
SH.BK0788,智慧党建,BK0788
SH.BK0789,防脱发概念,BK0789
SH.BK0790,盐湖提锂,BK0790
SH.BK0791,预制菜,BK0791
SH.BK0792,钠离子电池,BK0792
SH.BK0793,三胎概念,BK0793
SH.BK0794,宠物经济,BK0794
SH.BK0795,华为鸿蒙,BK0795
SH.BK0796,储能,BK0796
SH.BK0797,葡萄酒,BK0797
SH.BK0798,有机硅类,BK0798
SH.BK0799,专精特新,BK0799
SH.BK0809,工业母机,BK0809
SH.BK0814,境外,BK0814
SH.BK0815,硅锰,BK0815
SH.BK0816,北交所,BK0816
SH.BK0817,参股三板精选层,BK0817
SH.BK0818,元宇宙,BK0818
SH.BK0897,双黄连概念,BK0897
SH.BK0914,农业综合Ⅱ,BK0914
SH.BK0915,农化制品,BK0915
SH.BK0916,非金属材料Ⅱ,BK0916
SH.BK0917,冶钢原料,BK0917
SH.BK0918,普钢,BK0918
SH.BK0919,特钢Ⅱ,BK0919
SH.BK0920,能源金属,BK0920
SZ.BK0922,深股通,BK0922
SH.BK0923,电子化学品Ⅱ,BK0923
SH.BK0924,乘用车,BK0924
SH.BK0925,商用车,BK0925
SH.BK0926,小家电,BK0926
SH.BK0927,厨卫电器,BK0927
SH.BK0928,照明设备Ⅱ,BK0928
SH.BK0929,家电零部件Ⅱ,BK0929
SH.BK0930,其他家电Ⅱ,BK0930
SH.BK0931,白酒Ⅱ,BK0931
SH.BK0932,非白酒,BK0932
SH.BK0933,饮料乳品,BK0933
SH.BK0934,休闲食品,BK0934
SH.BK0935,调味发酵品Ⅱ,BK0935
SH.BK0936,饰品,BK0936
SH.BK0937,文娱用品,BK0937
SH.BK0938,铁路公路,BK0938
SH.BK0939,航空机场,BK0939
SH.BK0940,航运港口,BK0940
SH.BK0941,房地产服务,BK0941
SH.BK0942,互联网电商,BK0942
SH.BK0943,旅游零售Ⅱ,BK0943
SH.BK0944,体育Ⅱ,BK0944
SH.BK0945,专业服务,BK0945
SH.BK0946,酒店餐饮,BK0946
SH.BK0947,教育,BK0947
SH.BK0948,国有大型银行Ⅱ,BK0948
SH.BK0949,股份制银行Ⅱ,BK0949
SH.BK0950,城商行Ⅱ,BK0950
SH.BK0951,农商行Ⅱ,BK0951
SH.BK0952,工程咨询服务Ⅱ,BK0952
SH.BK0953,光伏设备,BK0953
SH.BK0954,电池,BK0954
SH.BK0955,电网设备,BK0955
SH.BK0956,工程机械,BK0956
SH.BK0957,自动化设备,BK0957
SH.BK0958,军工电子Ⅱ,BK0958
SH.BK0959,IT服务Ⅱ,BK0959
SH.BK0960,软件开发,BK0960
SH.BK0961,游戏Ⅱ,BK0961
SH.BK0962,广告营销,BK0962
SH.BK0963,影视院线,BK0963
SH.BK0964,数字媒体,BK0964
SH.BK0965,出版,BK0965
SH.BK0966,电视广播Ⅱ,BK0966
SH.BK0967,煤炭开采,BK0967
SH.BK0968,焦炭Ⅱ,BK0968
SH.BK0969,油气开采Ⅱ,BK0969
SH.BK0970,油服工程,BK0970
SH.BK0971,炼化及贸易,BK0971
SH.BK0972,环境治理,BK0972
SH.BK0973,个护用品,BK0973
SH.BK0974,化妆品,BK0974
SH.BK0975,医疗美容,BK0975
SH.BK0976,旅游及景区,BK0976
SH.BK0977,风电设备,BK0977
SH.BK0978,环保设备Ⅱ,BK0978
SH.BK0982,沪股新经济,BK0982
SH.BK0998,联想概念,BK0998
